x,RCR 2,RCR 5,RCR 6,RCR 8,RCR 10,RCR 12,RCR 14,RCR 15,RCR 16,RCR 18,RCR 20,RCR 23
160.1525,18.9986,21.5036,22.2929,23.5921,24.7597,26.5275,28.666,30.0377,31.2897,33.8354,45.8219,74.1172
160.1694,18.9995,21.5047,22.2941,23.5932,24.7614,26.5294,28.6679,30.0398,31.2918,33.8374,45.8271,74.1283
160.2257,19.0023,21.5083,22.2982,23.5969,24.7669,26.5355,28.6742,30.0468,31.2992,33.844,45.8447,74.1656
160.2379,19.0029,21.5091,22.299,23.5978,24.768,26.5368,28.6755,30.0484,31.3007,33.8455,45.8485,74.1736
165.1231,19.2617,21.8602,22.6737,24.0064,25.262,27.0575,29.2414,30.6456,31.9264,34.5558,47.3754,77.4029
165.126,19.2619,21.8604,22.6739,24.0066,25.2623,27.0578,29.2417,30.6459,31.9268,34.5563,47.3763,77.4048
165.1605,19.2641,21.8631,22.6767,24.0099,25.2658,27.0614,29.2458,30.65,31.9312,34.5622,47.3871,77.4277
165.1809,19.2654,21.8648,22.6783,24.0118,25.2678,27.0635,29.2482,30.6524,31.9337,34.5657,47.3935,77.4412
165.1842,19.2656,21.865,22.6786,24.0121,25.2682,27.0639,29.2486,30.6528,31.9342,34.5662,47.3945,77.4434
165.2218,19.2679,21.868,22.6816,24.0156,25.2719,27.0678,29.253,30.6572,31.9389,34.5726,47.4063,77.4682
167.922,19.4565,22.0903,22.9046,24.2745,25.5302,27.3473,29.5725,30.9643,32.2801,35.0111,48.2517,79.2557
170.2094,19.6292,22.2931,23.1029,24.4979,25.7415,27.5785,29.8438,31.2134,32.5667,35.3799,48.9686,80.7712
170.218,19.6299,22.2939,23.1036,24.4987,25.7423,27.5794,29.8448,31.2143,32.5677,35.3813,48.9713,80.7769
170.2288,19.6307,22.2949,23.1046,24.4998,25.7434,27.5805,29.8461,31.2154,32.5691,35.3831,48.9747,80.784
170.2489,19.6322,22.2967,23.1064,24.5017,25.7454,27.5825,29.8485,31.2176,32.5716,35.3865,48.9809,80.7974
170.2697,19.6337,22.2986,23.1082,24.5038,25.7474,27.5845,29.8509,31.2198,32.5742,35.39,48.9875,80.8111
170.3109,19.6368,22.3024,23.1119,24.5078,25.7514,27.5886,29.8558,31.2242,32.5793,35.3969,49.0004,80.8384
175.0129,19.9888,22.7578,23.5527,24.9737,26.2433,28.0305,30.4134,31.7181,33.1597,36.2543,50.4758,83.9573
175.1671,20.0016,22.7734,23.5679,24.9891,26.2595,28.0446,30.4316,31.7342,33.1786,36.2843,50.5243,84.0596
175.2365,20.0074,22.7805,23.5747,24.996,26.2668,28.0511,30.4398,31.7415,33.1871,36.2978,50.546,84.1057
175.2382,20.0076,22.7807,23.5748,24.9962,26.267,28.0512,30.44,31.7417,33.1873,36.2981,50.5466,84.1068
175.3165,20.0142,22.7886,23.5825,25.004,26.2752,28.0585,30.4493,31.7499,33.1969,36.3134,50.5712,84.1588
175.404,20.0216,22.7975,23.5911,25.0128,26.2844,28.0666,30.4596,31.7591,33.2075,36.3304,50.5986,84.2169
179.8505,20.4579,23.2582,24.0386,25.4672,26.7332,28.4947,30.9785,32.2468,33.7481,37.2265,51.996,87.1705
179.8864,20.4616,23.262,24.0423,25.471,26.7368,28.4982,30.9827,32.2509,33.7524,37.2339,52.0073,87.1944
179.9176,20.4649,23.2652,24.0455,25.4743,26.7398,28.5013,30.9863,32.2545,33.7562,37.2404,52.0171,87.2151
179.925,20.4657,23.266,24.0462,25.4751,26.7406,28.502,30.9871,32.2553,33.7571,37.2419,52.0194,87.22
179.9263,20.4658,23.2661,24.0464,25.4752,26.7407,28.5021,30.9873,32.2555,33.7573,37.2422,52.0198,87.2209
179.9296,20.4662,23.2665,24.0467,25.4756,26.741,28.5025,30.9877,32.2558,33.7576,37.2428,52.0208,87.2231
179.936,20.4668,23.2672,24.0473,25.4763,26.7417,28.5031,30.9884,32.2566,33.7584,37.2442,52.0229,87.2273
179.9467,20.468,23.2683,24.0484,25.4774,26.7427,28.5041,30.9896,32.2578,33.7597,37.2464,52.0262,87.2345
179.9771,20.4712,23.2715,24.0515,25.4806,26.7457,28.5071,30.9931,32.2613,33.7634,37.2527,52.0358,87.2546
