x,uncorrected-gnd-roll-1,uncorrected-gnd-roll-2,uncorrected-gnd-roll-3,uncorrected-gnd-roll-4,uncorrected-gnd-roll-5,uncorrected-gnd-roll-6,uncorrected-gnd-roll-7,uncorrected-gnd-roll-8,uncorrected-gnd-roll-9,uncorrected-gnd-roll-10,uncorrected-gnd-roll-11,uncorrected-gnd-roll-12,uncorrected-gnd-roll-13,uncorrected-gnd-roll-14,uncorrected-gnd-roll-15,uncorrected-gnd-roll-16
0,1000.615,940.302,882.437,826.884,766.207,709.757,648.174,595.67,517.628,462.531,416.639,347.35,284.348,234.405,164.421,122.071
0.0052,1000.59,940.277,882.385,826.817,766.097,709.591,647.933,595.414,517.347,462.148,416.37,346.939,283.821,233.772,163.78,121.368
0.0436,1000.409,940.096,882.007,826.314,765.285,708.36,646.138,593.502,515.283,459.316,414.368,343.88,279.793,228.855,159.085,115.873
0.061,1000.327,940.013,881.837,826.085,764.917,707.801,645.319,592.624,514.352,458.031,413.449,342.478,277.889,226.433,156.985,113.242
0.082,1000.228,939.913,881.633,825.805,764.47,707.121,644.318,591.545,513.225,456.467,412.32,340.756,275.517,223.235,154.456,109.95
0.2439,999.465,939.137,880.125,823.562,760.999,701.806,636.37,582.779,504.592,444.27,402.933,326.318,255.89,191.566,135.848,82.359
0.2741,999.323,938.991,879.86,823.123,760.345,700.798,634.841,581.051,502.982,441.96,400.983,323.247,252.098,187.604,132.597,76.926
0.3049,999.178,938.841,879.597,822.666,759.675,699.766,633.268,579.259,501.337,439.594,398.897,319.947,248.225,184.449,129.386,71.324
0.3125,999.142,938.804,879.534,822.552,759.509,699.51,632.876,578.81,500.929,439.006,398.363,319.102,247.266,183.751,128.609,69.928
0.3659,998.891,938.543,879.1,821.735,758.342,697.706,630.112,575.62,498.07,434.872,394.387,312.893,240.576,179.257,123.315,60.076
0.4268,998.604,938.244,878.632,820.757,756.998,695.626,626.906,571.865,494.785,430.104,389.15,305.19,233.017,174.106,116.655,48.661
0.4277,998.599,938.239,878.625,820.742,756.978,695.595,626.857,571.808,494.736,430.032,389.065,305.07,232.905,174.025,116.539,48.489
0.5046,998.237,937.859,878.071,819.427,755.27,692.945,622.754,566.914,490.561,423.957,380.975,294.714,223.559,166.299,101.753,33.915
0.5814,997.875,937.476,877.546,817.998,753.545,690.264,618.59,561.852,486.335,417.804,370.52,284.254,214.324,156.212,61.761,19.172
0.6198,997.694,937.283,877.289,817.232,752.676,688.911,616.488,559.263,484.2,414.697,364.139,279.203,209.715,149.987,71.26,11.747
0.6707,997.454,937.026,876.946,816.156,751.516,687.105,613.686,555.776,481.342,410.546,354.607,272.824,203.586,140.368,61.342,1.857
0.6966,997.332,936.895,876.769,815.579,750.923,686.182,612.255,553.983,479.876,408.421,349.607,269.736,200.452,134.972,55.885,-3.191
0.7317,997.167,936.718,876.524,814.763,750.117,684.924,610.311,551.532,477.877,405.527,343.229,265.69,196.172,127.221,48.525,-10.048
0.7927,996.88,936.407,876.08,813.239,748.706,682.723,606.921,547.225,474.359,400.451,333.91,258.916,188.591,112.821,37.635,-22.013
0.8503,996.609,936.112,875.628,811.672,747.361,680.623,603.712,543.117,470.988,395.603,326.359,252.695,181.133,98.595,212.566,-33.364
0.9271,996.247,935.717,874.969,809.418,745.547,677.792,599.431,537.608,466.416,389.048,316.974,244.477,170.281,81.668,743.528,-48.571
1.0366,995.731,935.148,873.899,806.146,742.912,673.693,593.355,529.792,459.747,379.515,302.919,232.5,152.849,95.998,2483.145,-70.355
1.0976,995.444,934.83,873.235,804.471,741.415,671.375,589.998,525.508,455.95,374.097,293.893,225.425,143.03,82.634,4123.897,-82.538
1.1192,995.342,934.716,872.989,803.918,740.879,670.548,588.815,524.01,454.591,372.157,290.552,222.797,139.634,77.69,4843.236,-86.862
1.1585,995.156,934.509,872.526,802.967,739.894,669.03,586.666,521.311,452.092,368.591,284.444,217.768,133.556,68.454,6359.875,-94.753
1.2195,994.869,934.187,871.773,801.63,738.346,666.654,583.352,517.229,448.167,362.984,275.294,209.158,124.349,53.631,9281.603,-106.996
1.2344,994.799,934.108,871.583,801.327,737.963,666.069,582.545,516.253,447.199,361.599,273.161,206.889,122.129,49.91,10109.312,-109.99
1.2805,994.582,933.864,870.981,800.44,736.767,664.244,580.048,513.281,444.172,357.264,266.867,199.458,115.316,37.993,12979.604,-119.267
1.3496,994.256,933.495,870.037,799.229,734.935,661.464,576.301,508.944,439.548,350.621,258.338,187.386,105.24,15.272,18226.901,-133.212
1.4024,994.007,933.212,869.288,798.373,733.504,659.305,573.432,505.711,435.943,345.421,252.534,178.021,97.652,-2.983,23066.525,-143.882
1.4634,993.72,932.884,868.395,797.436,731.812,656.769,570.102,502.039,431.691,339.265,246.464,168.172,89.005,-19,29636.493,-156.222
1.5417,993.351,932.461,867.207,796.29,729.571,653.445,565.788,497.383,426.073,331.096,239.248,157.839,78.113,-38.207,39752.523,-172.094
1.7073,992.571,931.558,864.569,793.991,724.519,646.188,556.428,487.498,413.401,312.672,224.591,136.403,55.73,-77.187,68205.315,-205.771
1.7683,992.284,931.222,863.561,793.168,722.529,643.527,552.874,483.747,408.352,305.462,219.011,126.314,47.045,-91.265,81372.379,-218.2
1.8106,992.084,930.989,862.852,792.6,721.099,641.803,550.365,481.076,404.669,300.322,214.957,118.156,40.026,-100.975,91433.157,-226.828
1.8874,991.722,930.564,861.545,791.567,718.382,640.08,545.706,476.014,397.416,290.701,206.92,101.315,14.172,-118.525,111766.292,-242.52
1.8902,991.709,930.548,861.497,791.529,718.278,640.114,545.531,475.82,397.129,290.339,206.599,100.653,12.434,-119.172,112570.006,-243.1
1.9512,991.422,930.209,860.445,790.705,715.987,642.605,541.721,471.519,390.438,282.442,199.012,85.917,-9.099,-133.033,130781.618,-255.571
2.0732,990.847,929.527,858.308,789.02,710.96,640.048,533.763,461.735,369.295,265.971,174.757,55.05,-26.982,-160.621,172883.059,-280.548
2.1341,990.56,929.184,857.226,788.149,708.155,636.162,529.588,455.884,340.582,257.358,146.349,40.393,-33.339,-174.36,196953.938,-293.055
2.1951,990.273,928.84,856.135,787.247,705.09,631.531,525.263,448.967,321.523,248.442,113.833,27.01,-38.96,-188.069,223158.953,-305.571
2.2561,989.985,928.495,855.036,786.304,701.731,626.431,520.772,440.653,307.051,239.152,86.456,14.768,-44.085,-201.751,251588.629,-318.099
2.3171,989.698,928.149,853.93,785.304,698.059,621.072,516.097,430.597,294.524,229.359,68.148,2.526,-48.852,-215.41,282333.491,-330.636
2.439,989.124,927.453,851.7,783.014,689.772,610,506.112,404.815,273.187,206.637,47.874,-25.514,-57.623,-242.667,351130.869,-355.738
2.5,988.836,927.103,850.576,781.584,685.235,604.398,500.762,390.441,264.045,166.383,38.7,-41.157,-61.724,-256.268,389364.433,-368.302
2.561,988.549,926.752,849.448,779.664,680.547,598.794,495.172,376.853,255.58,143.075,13.923,-57.514,-65.678,-269.854,430275.28,-380.874
2.622,988.262,926.4,848.314,776.288,675.822,593.21,489.355,364.701,247.434,126.116,-10.854,-74.395,-69.507,-283.426,473953.933,-393.454
2.8049,987.4,925.339,844.888,758.898,662.409,576.717,470.714,333.647,222.082,68.809,-28.958,-127.085,-80.402,-324.066,622501.976,-431.24
2.8659,987.113,924.983,843.738,755.963,658.372,571.338,464.174,324.372,212.729,50.34,-32.413,-145.115,-83.875,-337.59,678157.098,-443.849
2.9268,986.825,924.627,842.585,753.413,654.576,566.032,457.511,315.439,202.806,32.657,-35.352,-163.314,-87.282,-351.105,737032.648,-456.465
2.9878,986.538,924.269,841.429,751.083,651.002,560.804,450.755,306.777,192.405,15.372,-37.914,-181.654,-90.631,-364.611,799219.15,-469.087
3.1098,985.964,923.552,839.108,746.808,644.353,550.603,437.074,290.056,170.466,-19.597,-42.239,-218.683,-97.172,-391.596,933887.107,-494.35
